address,latitude,longitude
"Армянский переулок, д. 4, стр. 2",55.75937,37.636401
"Кривоколенный переулок, д. 3",55.760732,37.632943
"Кривоколенный переулок, д. 3А",55.761188,37.633859
"Мясницкая ул., д. 11",55.761578,37.632493
"Мясницкая ул., д. 13, стр. 4",55.762389,37.633508
"Мясницкая ул., д. 18",55.761097,37.632619
"Мясницкая ул., д. 20",55.761553,37.633428
"Б. Трёхсвятительский переулок, д. 3",55.755368,37.646471
"М. Трехсвятительский переулок, 8/2, стр. 1",55.754096,37.646552
"М. Трехсвятительский переулок, 8/2, стр. 2",55.753691,37.646498
"Покровский бульвар, д. 11, корп. A",55.753169,37.648636
"Покровский бульвар, д. 11, корп. D",55.753169,37.648636
"Покровский бульвар, д. 11, корп. F",55.753169,37.648636
"Покровский бульвар, д. 11, корп. G",55.753169,37.648636
"Покровский бульвар, д. 11, корп. K",55.753169,37.648636
"Покровский бульвар, д. 11, корп. L",55.753169,37.648636
"Покровский бульвар, д. 11, корп. M",55.753169,37.648636
"Покровский бульвар, д. 11, корп. N",55.753169,37.648636
"Покровский бульвар, д. 11, корп. R",55.753169,37.648636
"Покровский бульвар, д. 11, корп. S",55.753169,37.648636
"Покровский бульвар, д. 11, корп. T",55.753169,37.648636
"Покровский бульвар, д. 11, корп. Z",55.753169,37.648636
"Хитровский переулок, д. 2/8, корпус 5 (П)",55.753559,37.644782
"Хитровский переулок, д. 4, корп. 10 (Т)",55.753874,37.645501
"Таллинская ул., д. 34",55.803474,37.409846
"Шаболовка ул., д. 26, стр. 2",55.720175,37.608598
"Шаболовка ул., д. 26, стр. 3",55.720423,37.608481
"Шаболовка ул., д. 26, стр. 4",55.72018,37.607906
"Шаболовка ул., д. 26, стр. 5",55.720732,37.608122
"Шаболовка ул., д. 28/11, стр. 2",55.720144,37.609029
"Шаболовка ул., д. 28/11, стр. 3",55.719942,37.608571
"Шаболовка ул., д. 28/11, стр. 4",55.719698,37.60885
"Шаболовка ул., д. 28/11, стр. 9",55.719774,37.60841
"Ст. Басманная ул., д. 21/4, стр. 1",55.766835,37.663404
"Ст. Басманная ул., д. 21/4, стр. 3",55.767793,37.662838
"Ст. Басманная ул., д. 21/4, стр. 4",55.768056,37.663413
"Ст. Басманная ул., д. 21/4, стр. 5",55.767656,37.663836
"Б. Ордынка ул., д. 47/7 (стр. 1)",55.734217,37.624696
"Б. Ордынка ул., д. 47/7 (стр. 2)",55.734298,37.625307
"М. Ордынка ул., д. 17",55.737426,37.626726
"М. Ордынка ул., д. 29",55.734045,37.625855
"Б. Пионерская ул., д. 20",55.727805,37.634056
"М. Пионерская ул., д. 12",55.728423,37.635458
"Пантелеевская улица, 53",55.7873,37.641764
"3-й Колобовский пер., д. 8, стр. 2",55.769646,37.618911
"Большой Харитоньевский переулок, д. 4, стр.1",55.763635,37.643857
"Лялин переулок, д. 3а",55.760768,37.652274
"Потаповский переулок, д. 16, стр. 10",55.759522,37.640426
"Солянка ул, д. 14А, стр. 1",55.752298,37.637434
"Б. Переяславская ул., д. 50, стр. 1",55.787341,37.640875
"Вавилова ул., д. 7",55.705067,37.58579
"деревня Шульгино, 36",56.016919,43.056512
"Измайловское ш., д. 44, стр. 1",55.778846,37.733904
"Измайловское ш., д. 44, стр. 2",55.778466,37.733958
"Кожевнический пр-д, д. 1",55.731353,37.645761
"Космонавта Волкова ул., д. 18",50.487679,30.638615
"М. Гнездниковский переулок, д. 4",55.76169,37.60611
"Миклухо-Маклая ул., д. 16/10, корп. 3",55.647498,37.509891
"Профсоюзная ул., 33, к.4",55.67097,37.560682
"Славянская площадь, д. 4, стр. 2",55.753448,37.636284
"Трифоновская ул., д. 57, стр. 1 и 2",55.790221,37.631101
"Усачева ул., д. 6",55.729235,37.571758
"1-й Саратовский проезд, д. 5. к. 2",55.711726,37.738063
"1-й Саратовский проезд, д. 7. к. 3",55.710453,37.738791
"Б. Переяславская ул., д. 50, стр. 1",55.787341,37.640875
"Дениса Давыдова ул., д. 1, д. 3, д. 9",,
"Кибальчича ул., д. 7",50.491364,30.59811
"Люблинская ул., д. 56/2, стр. 2",55.676585,37.738198
"Маковского ул., д. 2",43.192932,131.931685
"Михайлова ул., д. 34",55.722081,37.782835
"Студенческая ул., д. 33, к.1",55.739113,37.545096
"Цимлянская ул., д. 5",55.66932,37.770421
"Электродная ул., д. 1",55.75593,37.752347
"Энергетическая ул., д. 10, корп. 2",55.759132,37.705266
"Комсомольская ул., д. 1",54.738952,55.989198
"Маковского ул., д. 2",43.192932,131.931685
