Name,amount_infrastructure,latitude,longitude,infra_norm
метро Третьяковская Москва,46,55.7403863,37.6297282,0.6216216216216216
метро Медведково Москва,4,55.8881983,37.6622862,0.05405405405405406
метро Первомайская Москва,5,55.7931157,37.7999286,0.06756756756756757
метро Калужская Москва,6,55.6555353,37.5428865,0.08108108108108109
метро Каховская Москва,2,55.6525408,37.6056795,0.02702702702702703
метро Бульвар адмирала Ушакова Москва,1,55.5442627,37.5427657,0.013513513513513514
метро Павелецкая Москва,35,55.7313525,37.6370093,0.47297297297297297
метро Волжская Москва,0,55.6903349,37.7556475,0.0
метро Шаболовская Москва,25,55.7189065,37.6091413,0.33783783783783783
метро Тимирязевская Москва,3,55.8196696,37.5818856,0.04054054054054054
метро ВДНХ Москва,5,55.8228536,37.6440977,0.06756756756756757
метро Тверская Москва,34,55.7705968,37.5954692,0.4594594594594595
метро Фонвизинская Москва,1,55.8213062,37.5884716,0.013513513513513514
метро Воронцовская Москва,18,55.7334022,37.6636224,0.24324324324324326
метро Дмитровская Москва,10,55.8090341,37.576339,0.13513513513513514
метро Новые Черёмушки Москва,12,55.668482,37.5553221,0.16216216216216217
метро Маяковская Москва,34,55.768393,37.5937552,0.4594594594594595
метро Нижегородская Москва,6,55.7325667,37.7312504,0.08108108108108109
метро Ботанический сад Москва,9,55.845974,37.6388258,0.12162162162162163
метро Белорусская Москва,39,55.7770987,37.5864769,0.527027027027027
метро Красногвардейская Москва,0,55.6141125,37.7481989,0.0
метро Комсомольская Москва,32,55.7752772,37.6555161,0.43243243243243246
метро Нагатинская Москва,7,55.6839673,37.6238621,0.0945945945945946
метро Алтуфьево Москва,4,55.8984847,37.5880546,0.05405405405405406
метро Новопеределкино Москва,1,55.6394521,37.3515354,0.013513513513513514
метро Автозаводская Москва,21,55.7073081,37.6589267,0.28378378378378377
метро Текстильщики Москва,2,55.7083051,37.7267189,0.02702702702702703
метро Кожуховская Москва,7,55.7067022,37.6861899,0.0945945945945946
метро Марьино Москва,7,55.6515516,37.7435955,0.0945945945945946
метро Преображенская площадь Москва,17,55.7977091,37.7146709,0.22972972972972974
метро Новослободская Москва,50,55.7788865,37.6044974,0.6756756756756757
метро Фили Москва,8,55.7463334,37.5133367,0.10810810810810811
метро Кунцевская Москва,4,55.7283146,37.4467451,0.05405405405405406
метро Домодедовская Москва,2,55.6115642,37.7164659,0.02702702702702703
метро Мнёвники Москва,0,55.7600402,37.4660727,0.0
метро Охотный ряд Москва,45,55.75792,37.61288,0.6081081081081081
метро Новокосино Москва,14,55.7438579,37.8610772,0.1891891891891892
метро Курская Москва,29,55.7588462,37.6580446,0.3918918918918919
метро Лухмановская Москва,3,55.7074226,37.9014326,0.04054054054054054
метро Достоевская Москва,7,55.781395,37.6131472,0.0945945945945946
метро Борисово Москва,2,55.6321917,37.7454076,0.02702702702702703
метро Беговая Москва,2,55.7743448,37.5494333,0.02702702702702703
метро Терехово Москва,0,55.7481291,37.4603091,0.0
метро Волоколамская Москва,2,55.83654,37.38257,0.02702702702702703
метро Парк Победы Москва,1,55.7367525,37.5155296,0.013513513513513514
метро Чертановская Москва,0,55.6439445,37.6044081,0.0
метро Филёвский парк Москва,5,55.7387897,37.4836882,0.06756756756756757
метро Фрунзенская Москва,17,55.7264965,37.5816021,0.22972972972972974
метро Лубянка Москва,46,55.7601936,37.6263932,0.6216216216216216
метро Водный стадион Москва,13,55.8398573,37.4866653,0.17567567567567569
метро Улица 1905 года Москва,26,55.7643688,37.5641368,0.35135135135135137
метро Ломоносовский проспект Москва,9,55.7059182,37.5149866,0.12162162162162163
метро Марксистская Москва,44,55.7404533,37.6567809,0.5945945945945946
метро Боровское шоссе Москва,0,55.6485281,37.3717077,0.0
метро Партизанская Москва,8,55.7865341,37.7504502,0.10810810810810811
метро Улица академика Янгеля Москва,5,55.5961273,37.603292,0.06756756756756757
метро Краснопресненская Москва,7,55.7587294,37.5773248,0.0945945945945946
метро Авиамоторная Москва,16,55.7523273,37.7203255,0.21621621621621623
метро Тульская Москва,41,55.7104508,37.6202693,0.5540540540540541
метро Лермонтовский проспект Москва,1,55.7012904,37.8525754,0.013513513513513514
метро Спартак Москва,0,55.8161223,37.4338884,0.0
метро Аннино Москва,4,55.584409,37.5967464,0.05405405405405406
метро Севастопольская Москва,1,55.6517996,37.5986352,0.013513513513513514
метро Профсоюзная Москва,11,55.6783035,37.5614633,0.14864864864864866
метро Улица Горчакова Москва,0,55.5428635,37.5324658,0.0
метро Мякинино Москва,11,55.822832,37.3848599,0.14864864864864866
метро Октябрьская Москва,14,55.7265831,37.6116597,0.1891891891891892
метро Пионерская Москва,0,55.7356911,37.4674623,0.0
метро Площадь Ильича Москва,14,55.7469013,37.6817591,0.1891891891891892
метро Рассказовка Москва,6,55.6333059,37.3331157,0.08108108108108109
метро Нагатинский Затон Москва,1,55.6843654,37.7054853,0.013513513513513514
метро Измайловская Москва,3,55.7884772,37.7789112,0.04054054054054054
метро Косино Москва,4,55.7120799,37.877937,0.05405405405405406
метро Битцевский парк Москва,0,55.6006836,37.5549889,0.0
метро Сокол Москва,17,55.8058424,37.508552,0.22972972972972974
метро Рижская Москва,6,55.7927045,37.6340445,0.08108108108108109
метро Сокольники Москва,14,55.7918274,37.6795166,0.1891891891891892
метро Смоленская Москва,22,55.7487979,37.5823564,0.2972972972972973
метро Парк культуры Москва,23,55.7342744,37.5932043,0.3108108108108108
метро Мичуринский проспект Москва,1,55.6867434,37.4877292,0.013513513513513514
метро Котельники Москва,4,55.6752343,37.856178,0.05405405405405406
метро Библиотека имени Ленина Москва,22,55.7526088,37.6099602,0.2972972972972973
метро Некрасовка Москва,1,55.7030518,37.9253358,0.013513513513513514
метро Волгоградский проспект Москва,3,55.7255792,37.6855597,0.04054054054054054
метро Трубная Москва,26,55.7674966,37.6225323,0.35135135135135137
метро Динамо Москва,8,55.7910342,37.5555566,0.10810810810810811
метро Алексеевская Москва,4,55.8088448,37.6457345,0.05405405405405406
метро Планерная Москва,5,55.8609312,37.4344884,0.06756756756756757
метро Спортивная Москва,12,55.723491,37.5655123,0.16216216216216217
метро Суворовская Москва,4,55.7808683,37.615847,0.05405405405405406
метро Таганская Москва,41,55.7421897,37.6524565,0.5540540540540541
метро Театральная Москва,10,55.7929154,37.559067,0.13513513513513514
метро Бульвар Дмитрия Донского Москва,4,55.5699618,37.5768957,0.05405405405405406
метро Шипиловская Москва,0,55.6220206,37.7420891,0.0
метро Полянка Москва,20,55.7358206,37.6193924,0.2702702702702703
метро Крылатское Москва,5,55.7561666,37.4088809,0.06756756756756757
метро Сходненская Москва,15,55.8517877,37.4390502,0.20270270270270271
метро Юго-Западная Москва,12,55.6633159,37.4840815,0.16216216216216217
метро Шоссе Энтузиастов Москва,11,55.7564669,37.7518803,0.14864864864864866
метро Китай-город Москва,26,55.7531706,37.6325574,0.35135135135135137
метро Щукинская Москва,7,55.8092795,37.463365,0.0945945945945946
метро Лесопарковая Москва,3,55.5817818,37.578514,0.04054054054054054
метро Новогиреево Москва,6,55.7514646,37.8146182,0.08108108108108109
метро Минская Москва,2,55.7239424,37.4977723,0.02702702702702703
метро Пражская Москва,9,55.6095865,37.6080761,0.12162162162162163
метро Аэропорт Москва,22,55.8008066,37.5293913,0.2972972972972973
метро Проспект Мира Москва,25,55.7804065,37.6343838,0.33783783783783783
метро Марьина Роща Москва,15,55.7934809,37.6143491,0.20270270270270271
метро Нахимовский проспект Москва,1,55.6639027,37.6081679,0.013513513513513514
метро Алма-Атинская Москва,0,55.633668,37.7631828,0.0
метро Цветной бульвар Москва,47,55.7706419,37.6223598,0.6351351351351351
метро Окружная Москва,12,55.8469059,37.5720982,0.16216216216216217
метро Добрынинская Москва,28,55.7284715,37.6231945,0.3783783783783784
метро Технопарк Москва,10,55.6941633,37.6659833,0.13513513513513514
метро Серпуховская Москва,17,55.7252008,37.6225358,0.22972972972972974
метро Каширская Москва,4,55.6558054,37.6477703,0.05405405405405406
метро Жулебино Москва,7,55.6839174,37.8538414,0.0945945945945946
метро Селигерская Москва,7,55.8671929,37.5461492,0.0945945945945946
метро Юго-Восточная Москва,0,55.7048724,37.8187366,0.0
метро Солнцево Москва,3,55.649092,37.3903237,0.04054054054054054
метро Пятницкое шоссе Москва,0,55.8572638,37.3526924,0.0
метро Улица Скобелевская Москва,6,55.5474446,37.5523758,0.08108108108108109
метро Воробьёвы горы Москва,2,55.7064396,37.555497,0.02702702702702703
метро Верхние Лихоборы Москва,3,55.8581552,37.5582514,0.04054054054054054
метро Строгино Москва,2,55.8014462,37.4080551,0.02702702702702703
метро Отрадное Москва,11,55.8621789,37.6034629,0.14864864864864866
метро Кузьминки Москва,6,55.7053929,37.7686331,0.08108108108108109
метро Окская Москва,5,55.7192746,37.7804877,0.06756756756756757
метро Митино Москва,11,55.8462068,37.361556,0.14864864864864866
