name,date,year_of_production,length_min,age_restriction,country,time,price
Коммерсант,2026-05-15,2025,,18+,Россия,20:00,570
Грация,2026-05-15,2025,131,18+,Италия,21:30,570
Ускользающая красота,2026-05-15,1995,118,16+,"Италия, Франция, Великобритания",21:40,570
Хокум,2026-05-15,2026,107,18+,"Ирландия, ОАЭ, США",22:00,570
Вот это драма!,2026-05-15,2026,106,18+,США,22:05,570
Шурале,2026-05-15,2025,90,18+,Россия,20:00,570
На гребне волны,2026-05-15,1991,120,16+,США,21:20,570
Грация,2026-05-15,2025,131,18+,Италия,21:30,570
Разговор,2026-05-15,1974,113,18+,США,21:55,570
Вот это драма!,2026-05-15,2026,106,18+,США,22:00,570
Хокум,2026-05-15,2026,107,18+,"Ирландия, ОАЭ, США",22:05,570
Коммерсант,2026-05-15,2025,,18+,Россия,20:00,650
Коммерсант,2026-05-15,2025,,18+,Россия,22:00,650
Грация,2026-05-15,2025,131,18+,Италия,21:25,650
Разговор,2026-05-15,1974,113,18+,США,21:55,650
Хокум,2026-05-15,2026,107,18+,"Ирландия, ОАЭ, США",22:05,650
Великая красота,2026-05-15,2013,142,18+,"Италия, Франция",20:00,650
Шурале,2026-05-15,2025,90,18+,Россия,20:45,650
Ускользающая красота,2026-05-15,1995,118,16+,"Италия, Франция, Великобритания",21:05,650
Грация,2026-05-15,2025,131,18+,Италия,21:30,650
Вот это драма!,2026-05-15,2026,106,18+,США,21:40,650
Ангелы Ладоги,2026-05-15,2026,,12+,Россия,20:00,420
Разговор,2026-05-15,1974,113,18+,США,20:50,290
Хокум,2026-05-15,2026,107,18+,"Ирландия, ОАЭ, США",20:05,480
Грация,2026-05-15,2025,131,18+,Италия,21:30,480
Разговор,2026-05-15,1974,113,18+,США,21:50,480
Вот это драма!,2026-05-15,2026,106,18+,США,21:55,480
Шурале,2026-05-15,2025,90,18+,Россия,22:10,480
Вот это драма!,2026-05-15,2026,106,18+,США,20:40,530
Ла-Ла Ленд,2026-05-15,2017,129,16+,США,20:50,470
Сад изящных слов,2026-05-15,2013,46,18+,Япония,21:35,470
Грация,2026-05-15,2025,131,18+,Италия,20:50,520
Вот это драма!,2026-05-15,2026,106,18+,США,21:00,520
Грация,2026-05-15,2025,131,18+,Италия,20:55,540
Ветер крепчает,2026-05-15,2014,126,12+,Япония,21:05,380
Коммерсант,2026-05-15,2025,,18+,Россия,20:55,420
"Дом, который построил Джек",2026-05-15,2018,152,18+,"Дания, Франция, Германия, Швеция",21:05,320
Грация,2026-05-15,2025,131,18+,Италия,21:00,480
Вот это драма!,2026-05-15,2026,106,18+,США,21:45,480
Вот это драма!,2026-05-15,2026,106,18+,США,21:05,450
Полутон,2026-05-15,2025,94,18+,Канада,21:20,290
Хокум,2026-05-15,2026,107,18+,"Ирландия, ОАЭ, США",21:30,580
Ангелы Ладоги,2026-05-15,2026,,12+,Россия,21:10,470
Коммерсант,2026-05-15,2025,,18+,Россия,21:20,470
Олдбой,2026-05-15,2003,120,18+,Южная Корея,21:40,250
Коммерсант,2026-05-15,2025,,18+,Россия,22:00,420
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,09:30,350
Грация,2026-05-16,2025,131,18+,Италия,10:15,350
Грация,2026-05-16,2025,131,18+,Италия,12:55,420
Грация,2026-05-16,2025,131,18+,Италия,17:55,580
Грация,2026-05-16,2025,131,18+,Италия,20:35,580
Вверх по волшебному дереву,2026-05-16,2026,110,6+,Великобритания,10:55,350
Грузовички,2026-05-16,2026,,6+,Россия,13:10,470
Шурале,2026-05-16,2025,90,18+,Россия,14:55,470
Разговор,2026-05-16,1974,113,18+,США,15:35,540
Семь верст до рассвета,2026-05-16,2026,102,16+,Россия,16:50,540
Коммерсант,2026-05-16,2025,,18+,Россия,19:00,580
На гребне волны,2026-05-16,1991,120,16+,США,21:10,580
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,09:30,280
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,13:10,330
Мой сосед Тоторо,2026-05-16,2008,86,6+,Япония,10:40,220
Ангелы Ладоги,2026-05-16,2026,,12+,Россия,10:55,280
Ходячий замок,2026-05-16,2004,119,6+,Япония,12:25,290
Вверх по волшебному дереву,2026-05-16,2026,110,6+,Великобритания,14:35,380
2046,2026-05-16,,128,18+,"Китай, Франция, Германия, Гонконг",14:45,290
Семь верст до рассвета,2026-05-16,2026,102,16+,Россия,16:50,380
Ускользающая красота,2026-05-16,1995,118,16+,"Италия, Франция, Великобритания",17:10,290
Вот это драма!,2026-05-16,2026,106,18+,США,18:55,440
Разговор,2026-05-16,1974,113,18+,США,19:25,290
Коммерсант,2026-05-16,2025,,18+,Россия,21:00,440
Ветер крепчает,2026-05-16,2014,126,12+,Япония,21:40,290
Вверх по волшебному дереву,2026-05-16,2026,110,6+,Великобритания,09:35,290
Вверх по волшебному дереву,2026-05-16,2026,110,6+,Великобритания,15:00,470
Приключения желтого чемоданчика,2026-05-16,2026,,6+,Россия,09:45,350
Принцесса Мононоке,2026-05-16,2010,134,12+,Япония,10:00,220
Грузовички,2026-05-16,2026,,6+,Россия,11:35,440
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,11:45,350
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,13:15,520
Небесный замок Лапута,2026-05-16,1986,125,12+,Япония,12:30,240
Своя в доску,2026-05-16,2026,90,6+,Россия,13:05,390
Коммерсант,2026-05-16,2025,,18+,Россия,14:35,520
Коммерсант,2026-05-16,2025,,18+,Россия,19:15,470
Посторонний,2026-05-16,2025,122,18+,,14:45,270
Вот это драма!,2026-05-16,2026,106,18+,США,16:30,580
Вот это драма!,2026-05-16,2026,106,18+,США,21:10,470
Любовное настроение,2026-05-16,2000,98,18+,Гонгконг,17:05,290
Семь верст до рассвета,2026-05-16,2026,102,16+,Россия,17:15,470
Хокум,2026-05-16,2026,107,18+,"Ирландия, ОАЭ, США",18:40,580
О моем перерождении в слизь: Слезы Синего моря,2026-05-16,2026,105,16+,,18:50,290
Грация,2026-05-16,2025,131,18+,Италия,20:40,580
Разговор,2026-05-16,1974,113,18+,США,20:50,290
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,09:40,320
Ангелы Ладоги,2026-05-16,2026,,12+,Россия,09:50,320
Ангелы Ладоги,2026-05-16,2026,,12+,Россия,17:05,520
Грузовички,2026-05-16,2026,,6+,Россия,11:10,420
Вверх по волшебному дереву,2026-05-16,2026,110,6+,Великобритания,12:10,420
Семь верст до рассвета,2026-05-16,2026,102,16+,Россия,12:55,420
Семь верст до рассвета,2026-05-16,2026,102,16+,Россия,19:40,520
Грация,2026-05-16,2025,131,18+,Италия,14:30,520
Своя в доску,2026-05-16,2026,90,6+,Россия,15:05,520
Ходячий замок,2026-05-16,2004,119,6+,Япония,17:15,520
Коммерсант,2026-05-16,2025,,18+,Россия,19:25,520
Коммерсант,2026-05-16,2025,,18+,Россия,21:35,520
Шурале,2026-05-16,2025,90,18+,Россия,21:50,520
Ангелы Ладоги,2026-05-16,2026,,12+,Россия,09:50,330
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,10:55,330
Лео и Тиг. Дорога на Байкал,2026-05-16,2026,65,6+,Россия,12:15,440
